Wall time,Step,Value
1713687049.9227865,0,1.2690057754516602
1713687107.7658832,4,0.5256264209747314
1713687137.5379894,6,0.5289196968078613
1713687165.3600984,8,0.45459091663360596
1713687311.1116245,18,0.46164676547050476
1713687341.063559,20,0.4253562092781067
1713687369.7565184,22,0.3685816526412964
1713687459.8864613,28,0.3736037313938141
1713687487.340962,30,0.33774471282958984
1713687516.6171656,32,0.3646695911884308
1713687573.517372,36,0.3353264033794403
1713687603.2344763,38,0.36101704835891724
1713687632.5459843,40,0.3095538020133972
1713687688.3213468,44,0.392294704914093
1713687716.1545157,46,0.35535380244255066
1713687800.842584,52,0.31853747367858887
1713687830.34969,54,0.3372160792350769
1713687858.9057746,56,0.3170498013496399
1713687887.2271254,58,0.2783541679382324
1713687916.311333,60,0.3039296269416809
1713688001.2955348,66,0.3369639813899994
1713688030.0239391,68,0.3063582181930542
1713688089.5307786,72,0.3343670070171356
1713688118.2472212,74,0.2509145140647888
1713688147.8238974,76,0.2695101797580719
1713688175.216756,78,0.24681887030601501
1713688204.4676962,80,0.2877550423145294
1713688403.8296008,94,0.30034273862838745
1713688431.5870347,96,0.25405797362327576
1713688460.3971279,98,0.309314489364624
1713688487.7014692,100,0.35627982020378113
1713688514.9617934,102,0.28052353858947754
1713688543.9060984,104,0.2572844624519348
1713688571.643064,106,0.29001176357269287
1713688602.6424131,108,0.23501524329185486
1713688632.1088657,110,0.24236850440502167
1713688689.9706628,114,0.28701674938201904
1713688774.4806347,120,0.28731316328048706
1713688802.7598126,122,0.2530221939086914
1713688832.030564,124,0.30349019169807434
1713688861.8764436,126,0.26547911763191223
1713688916.7252417,130,0.2276012897491455
1713688945.103758,132,0.23975974321365356
1713688972.6612885,134,0.2446998655796051
1713689000.2926583,136,0.2169925719499588
1713689058.8817756,140,0.23952457308769226
1713689085.8912828,142,0.2342647761106491
1713689144.1122372,146,0.2024587094783783
1713689200.115795,150,0.2157277911901474
1713689258.0740864,154,0.257828027009964
1713689285.4273942,156,0.21758468449115753
1713689314.2609372,158,0.2271156907081604
1713689342.6440692,160,0.26136353611946106
1713689400.4024315,164,0.22800126671791077
1713689428.3955643,166,0.2700556218624115
1713689485.4019554,170,0.2650482952594757
1713689514.3651102,172,0.2465459257364273
1713689545.5524492,174,0.22899210453033447
1713689601.7241755,178,0.26975998282432556
1713689629.7453582,180,0.2660805881023407
1713689774.1518672,190,0.24805518984794617
1713689802.5708623,192,0.22088252007961273
1713689888.4060986,198,0.2422957867383957
1713689916.796735,200,0.25336161255836487
1713690000.382465,206,0.25552254915237427
1713690028.3274088,208,0.18736709654331207
1713690088.0882554,212,0.28270161151885986
1713690116.7078815,214,0.2411056011915207
1713690144.9953454,216,0.2644939422607422
1713690173.634996,218,0.18740391731262207
1713690202.6853626,220,0.21612924337387085
1713690230.603309,222,0.2748798429965973
1713690258.6399035,224,0.26629242300987244
1713690320.0731752,228,0.24968065321445465
1713690348.7576888,230,0.26964426040649414
1713690377.208648,232,0.22303706407546997
1713690404.5825326,234,0.23015663027763367
1713690488.2647634,240,0.22065532207489014
1713690516.4716485,242,0.21372568607330322
1713690631.6059155,250,0.20079946517944336
1713690659.876226,252,0.1530144214630127
1713690717.5872447,256,0.24294382333755493
1713690746.2261393,258,0.26375430822372437
1713690775.6757352,260,0.24068483710289001
1713690804.2950306,262,0.22054505348205566
1713690834.048064,264,0.20958925783634186
1713690894.544074,268,0.20977894961833954
1713690967.3813646,272,0.28257325291633606
1713691001.417462,274,0.22688040137290955
1713691029.819731,276,0.25364887714385986
1713691060.1458693,278,0.24414700269699097
1713691116.4315436,282,0.20999789237976074
1713691174.6344311,286,0.1889641433954239
1713691202.1722074,288,0.21247589588165283
1713691232.97745,290,0.20308586955070496
1713691260.8042645,292,0.23470839858055115
1713691290.3377118,294,0.1977050006389618
1713691376.7485435,300,0.2101886123418808
1713691493.614281,308,0.2345445603132248
1713691551.6900861,312,0.22581034898757935
1713691579.9356773,314,0.2350832223892212
1713691639.5845382,318,0.22059647738933563
1713691667.789612,320,0.23028172552585602
1713691725.6146343,324,0.234909787774086
1713691753.952113,326,0.22492140531539917
1713691781.2309859,328,0.27440351247787476
1713691842.0041378,332,0.22451886534690857
1713691900.0358486,336,0.23018863797187805
1713691957.7847464,340,0.20377019047737122
1713691986.0545459,342,0.15852154791355133
1713692015.420262,344,0.2192370891571045
1713692072.609283,348,0.1993560492992401
1713692101.86366,350,0.17289775609970093
1713692131.2598193,352,0.2148846536874771
1713692161.479074,354,0.22985196113586426
1713692189.207723,356,0.2615882456302643
1713692247.9705894,360,0.1722656935453415
1713692276.2499387,362,0.20018436014652252
1713692304.74755,364,0.22059209644794464
1713692332.5489142,366,0.2014339715242386
1713692360.890022,368,0.16745597124099731
1713692388.908622,370,0.1718117892742157
1713692416.6451824,372,0.16668765246868134
1713692503.590589,378,0.2102252095937729
1713692533.165515,380,0.2036312073469162
1713692561.5900307,382,0.23380832374095917
1713692590.72646,384,0.16402558982372284
1713692676.0252638,390,0.2206968516111374
1713692761.5292964,396,0.16837365925312042
1713692790.578403,398,0.16772101819515228
1713692819.5103772,400,0.22003532946109772
1713692878.3456485,404,0.18267126381397247
1713692907.3948257,406,0.19202031195163727
1713692937.1576421,408,0.22737810015678406
1713692965.716724,410,0.1869307905435562
1713693024.527642,414,0.18910089135169983
1713693053.3364966,416,0.2136089950799942
1713693081.1231585,418,0.17526881396770477
1713693136.689522,422,0.19970554113388062
1713693193.6548386,426,0.15215414762496948
1713693249.9118624,430,0.17223985493183136
1713693279.619804,432,0.21618688106536865
1713693336.0878677,436,0.24654017388820648
1713693364.4980898,438,0.20044150948524475
1713693395.2757206,440,0.23183394968509674
1713693423.8655398,442,0.2008717805147171
1713693452.2083197,444,0.20819556713104248
1713693510.320818,448,0.22332410514354706
1713693539.2833192,450,0.23266154527664185
1713693567.7495575,452,0.20244841277599335
1713693652.1850293,458,0.16650624573230743
1713693712.611275,462,0.1915045529603958
1713693741.1049666,464,0.17611545324325562
1713693800.4686294,468,0.200636625289917
1713693828.6442583,470,0.21853145956993103
1713693856.2394466,472,0.20462098717689514
1713693885.2350247,474,0.1693522185087204
1713693913.4878857,476,0.1874856948852539
1713693942.6986997,478,0.1955881416797638
1713694003.8717122,482,0.20753765106201172
1713694031.1109002,484,0.16658826172351837
1713694088.0604455,488,0.1685711145401001
1713694116.4480186,490,0.1749449223279953
1713694145.8874347,492,0.1582249402999878
1713694174.670616,494,0.1661846935749054
1713694203.3295336,496,0.18104985356330872
1713694231.7543635,498,0.21690653264522552
1713694317.702004,504,0.2079862356185913
1713694345.3611047,506,0.1740831583738327
1713694373.2710106,508,0.1875845342874527
1713694401.7014582,510,0.23680689930915833
1713694460.5410903,514,0.22651009261608124
1713694490.691621,516,0.2104438990354538
1713694519.6626856,518,0.1773625910282135
1713694548.713899,520,0.15752586722373962
1713694615.66744,524,0.19097058475017548
1713694646.7614763,526,0.21258118748664856
1713694791.7833493,536,0.19607199728488922
1713694848.687251,540,0.1504087597131729
1713694877.1680424,542,0.17062199115753174
1713694962.9236617,548,0.20324473083019257
1713694991.4360986,550,0.17916449904441833
1713695019.4236326,552,0.22675974667072296
1713695074.9069595,556,0.162800595164299
1713695104.8091788,558,0.14978435635566711
1713695133.0019264,560,0.16230934858322144
1713695161.8334558,562,0.16484810411930084
1713695190.8244224,564,0.21728934347629547
1713695218.3956516,566,0.1864020675420761
1713695247.1454763,568,0.193787083029747
1713695275.36519,570,0.1900947093963623
1713695332.4363384,574,0.22990654408931732
1713695360.0761337,576,0.2016967535018921
1713695420.0371413,580,0.19962383806705475
1713695447.3034089,582,0.23213252425193787
1713695563.2878606,590,0.17393530905246735
1713695591.0120294,592,0.19410839676856995
1713695620.3419485,594,0.20236077904701233
1713695649.0237975,596,0.22302094101905823
1713695678.7332501,598,0.23020724952220917
1713695710.9522204,600,0.17016981542110443
1713695826.6757774,608,0.18903358280658722
1713695855.1539812,610,0.16810306906700134
1713695887.6695747,612,0.2093866765499115
1713695917.0583155,614,0.14395006000995636
1713695948.0471997,616,0.20868134498596191
1713695976.3441868,618,0.17146219313144684
1713696037.2989917,622,0.1853061467409134
1713696065.7442415,624,0.1811230629682541
1713696094.0807083,626,0.19223880767822266
1713696122.3250363,628,0.20506231486797333
1713696150.5754619,630,0.20216599106788635
1713696179.0674922,632,0.16822437942028046
1713696235.1688683,636,0.1871761679649353
1713696264.5458968,638,0.22734251618385315
1713696292.2993612,640,0.1536092460155487
1713696321.8195298,642,0.19516143202781677
1713696351.6957333,644,0.1627884954214096
1713696409.0706868,648,0.1765425205230713
1713696496.108158,654,0.17005975544452667
1713696551.9237692,658,0.18314602971076965
1713696581.3596349,660,0.17684759199619293
1713696610.6059446,662,0.16467922925949097
1713696638.5656552,664,0.18669384717941284
1713696668.7228286,666,0.1610257625579834
1713696787.0457127,674,0.27547961473464966
1713696815.3349485,676,0.20213346183300018
1713696872.8346338,680,0.18378804624080658
1713696928.1104136,684,0.2086184024810791
1713696955.9822152,686,0.19339871406555176
1713696984.2572014,688,0.18887098133563995
1713697015.3390303,690,0.17775572836399078
1713697046.383594,692,0.20756132900714874
1713697073.8878791,694,0.1736786812543869
1713697103.5863945,696,0.22780448198318481
1713697131.7475986,698,0.18410764634609222
1713697161.7514331,700,0.20690865814685822
1713697219.646143,704,0.1870514303445816
1713697248.344722,706,0.18419846892356873
1713697275.870149,708,0.19838912785053253
1713697304.1545513,710,0.20808808505535126
1713697360.2993877,714,0.19638487696647644
1713697389.1162448,716,0.18719182908535004
1713697444.4685252,720,0.18815530836582184
1713697472.2754998,722,0.20880906283855438
1713697502.7678742,724,0.17000934481620789
1713697531.3406942,726,0.16471488773822784
1713697559.7964954,728,0.21114332973957062
1713697587.868386,730,0.1707664430141449
1713697618.1487317,732,0.18654589354991913
1713697648.0324953,734,0.1961437165737152
1713697677.0639727,736,0.18833258748054504
1713697707.037613,738,0.19069673120975494
1713697824.535882,746,0.16402897238731384
1713697853.0475261,748,0.18755698204040527
1713697881.6425443,750,0.16794118285179138
1713697940.9528253,754,0.17652064561843872
1713697971.0068865,756,0.1784185916185379
1713698084.7655997,764,0.17520828545093536
1713698140.8398387,768,0.2037421315908432
1713698170.5415637,770,0.1771775782108307
1713698198.7247815,772,0.16715186834335327
1713698286.3841205,778,0.18310953676700592
1713698313.7304091,780,0.22052085399627686
