Wall time,Step,Value
1713687049.9229376,0,0.0030816097278147936
1713687107.765981,4,0.4257725477218628
1713687137.538079,6,0.4260489344596863
1713687165.3601985,8,0.52578204870224
1713687311.1117175,18,0.5025426149368286
1713687341.063639,20,0.5532186627388
1713687369.756609,22,0.6081368923187256
1713687459.8865395,28,0.5926445722579956
1713687487.3410585,30,0.6417135000228882
1713687516.6172392,32,0.6032446622848511
1713687573.5174503,36,0.6451190114021301
1713687603.2345698,38,0.6071964502334595
1713687632.5460634,40,0.6654236316680908
1713687688.3214507,44,0.5916807055473328
1713687716.1545994,46,0.6100000739097595
1713687800.8426719,52,0.6542187929153442
1713687830.349769,54,0.6247261762619019
1713687858.9058688,56,0.682273268699646
1713687887.227206,58,0.7139229774475098
1713687916.3114245,60,0.6796659231185913
1713688001.2956161,66,0.6531047821044922
1713688030.024036,68,0.6937931180000305
1713688089.5308657,72,0.6404720544815063
1713688118.247309,74,0.7461981773376465
1713688147.8239799,76,0.7199983596801758
1713688175.216847,78,0.7230477929115295
1713688204.4677727,80,0.6931931972503662
1713688403.8296936,94,0.6655110716819763
1713688431.587112,96,0.7196594476699829
1713688460.3972132,98,0.6530709266662598
1713688487.7015452,100,0.6111950874328613
1713688514.961905,102,0.6838721036911011
1713688543.9061944,104,0.7153405547142029
1713688571.6431446,106,0.692493200302124
1713688602.6425056,108,0.7404102683067322
1713688632.1089518,110,0.7296139597892761
1713688689.9707413,114,0.6990097761154175
1713688774.4807315,120,0.6817051768302917
1713688802.759896,122,0.7130030989646912
1713688832.0306492,124,0.6703904867172241
1713688861.8765182,126,0.7056049108505249
1713688916.7253306,130,0.735265851020813
1713688945.1038368,132,0.7348622679710388
1713688972.66138,134,0.7321149706840515
1713689000.2927344,136,0.7438120245933533
1713689058.881848,140,0.736420214176178
1713689085.8913746,142,0.7605884671211243
1713689144.1123407,146,0.7737634181976318
1713689200.1158857,150,0.7569192051887512
1713689258.074176,154,0.733894944190979
1713689285.4274857,156,0.739621639251709
1713689314.2610226,158,0.7431327104568481
1713689342.6441655,160,0.7234532833099365
1713689400.4025207,164,0.7462751865386963
1713689428.3956535,166,0.7236825823783875
1713689485.4020333,170,0.6955457329750061
1713689514.3651998,172,0.7264268398284912
1713689545.5525272,174,0.7544928789138794
1713689601.7242498,178,0.7139729261398315
1713689629.745456,180,0.7023085951805115
1713689774.1519737,190,0.7255924940109253
1713689802.5709453,192,0.7393314242362976
1713689888.406188,198,0.7411310076713562
1713689916.7968116,200,0.7390154600143433
1713690000.382564,206,0.7090321779251099
1713690028.3274903,208,0.7810525894165039
1713690088.0883303,212,0.7296981811523438
1713690116.707974,214,0.7312792539596558
1713690144.9954154,216,0.7063534259796143
1713690173.635088,218,0.7781668305397034
1713690202.6854377,220,0.7452200651168823
1713690230.6034017,222,0.7141733765602112
1713690258.6399925,224,0.7136273384094238
1713690320.0732558,228,0.7114529013633728
1713690348.757783,230,0.6968347430229187
1713690377.2087395,232,0.7506852149963379
1713690404.5826168,234,0.7536322474479675
1713690488.264869,240,0.8005176782608032
1713690516.4717255,242,0.7560305595397949
1713690631.6059933,250,0.7996278405189514
1713690659.8763924,252,0.8142459988594055
1713690717.5873334,256,0.751907467842102
1713690746.226234,258,0.7365607619285583
1713690775.6758196,260,0.7403557896614075
1713690804.2951312,262,0.7764771580696106
1713690834.0481908,264,0.7634574770927429
1713690894.544148,268,0.7635945081710815
1713690967.3814838,272,0.7169926762580872
1713691001.4175556,274,0.7479878664016724
1713691029.8198104,276,0.7426115870475769
1713691060.1459634,278,0.7266576886177063
1713691116.4316294,282,0.7661285400390625
1713691174.6345212,286,0.7738210558891296
1713691202.1722934,288,0.7611953616142273
1713691232.9775243,290,0.7829423546791077
1713691260.804358,292,0.748455822467804
1713691290.337792,294,0.7796420454978943
1713691376.7486415,300,0.7538459300994873
1713691493.6143723,308,0.7339152097702026
1713691551.6901815,312,0.770500898361206
1713691579.9357784,314,0.7612119317054749
1713691639.5846224,318,0.75421541929245
1713691667.789692,320,0.7558127045631409
1713691725.614717,324,0.747701108455658
1713691753.9522111,326,0.7374107837677002
1713691781.2310686,328,0.7218802571296692
1713691842.0042186,332,0.7358183860778809
1713691900.0359302,336,0.7508611679077148
1713691957.784822,340,0.7829175591468811
1713691986.0546358,342,0.8058834671974182
1713692015.4203408,344,0.7549696564674377
1713692072.6093848,348,0.7748556137084961
1713692101.863736,350,0.7914292216300964
1713692131.2599154,352,0.7676235437393188
1713692161.4791553,354,0.7383877635002136
1713692189.2078102,356,0.7299870252609253
1713692247.9706733,360,0.7925116419792175
1713692276.250026,362,0.7768298983573914
1713692304.747637,364,0.7789096832275391
1713692332.5489984,366,0.7985665202140808
1713692360.8901165,368,0.8005703091621399
1713692388.9086974,370,0.8026843070983887
1713692416.6452737,372,0.7988765239715576
1713692503.5906997,378,0.7500828504562378
1713692533.1656008,380,0.7712128758430481
1713692561.5901246,382,0.7708693742752075
1713692590.7265408,384,0.8010497689247131
