Wall time,Step,Value
1713721687.6413853,8,0.21206405758857727
1713721722.9045517,10,0.24481898546218872
1713721757.5766902,15,0.20249152183532715
1713721764.4636807,16,0.18552395701408386
1713721771.3528068,17,0.19167153537273407
1713722067.3777716,36,0.2569977343082428
1713722226.0154006,43,0.21425436437129974
1713722236.0782747,44,0.2376352697610855
1713722260.3721654,45,0.21775928139686584
1713722280.3113081,47,0.1396334171295166
1713722299.9034894,48,0.16051779687404633
1713722321.1718535,51,0.23881767690181732
1713722338.390979,54,0.10814914852380753
1713722766.4673648,75,0.153946191072464
1713722863.7456737,84,0.19679643213748932
1713723048.0134146,92,0.14237293601036072
1713723068.7206786,94,0.1945713609457016
1713723161.1308143,104,0.17056477069854736
1713723185.242572,108,0.17426668107509613
1713723348.4010363,113,0.188463032245636
1713723465.5418944,125,0.19050568342208862
1713723626.5831707,129,0.24829159677028656
1713723636.64164,130,0.13202162086963654
1713723717.3383093,139,0.15924423933029175
1713723744.896334,143,0.1867927610874176
1713723867.614961,145,0.17402270436286926
1713723927.9144506,151,0.1984395533800125
1713723937.0983286,152,0.17465226352214813
1713723973.8503141,156,0.1473865807056427
1713724397.8352408,182,0.1985587477684021
1713724545.5575795,193,0.21287553012371063
1713724552.45683,194,0.10846791416406631
1713724559.3584507,195,0.11803238093852997
1713724566.256948,196,0.23661136627197266
1713724726.332299,201,0.14500240981578827
1713724797.2444892,208,0.15853728353977203
1713724997.6662405,218,0.14505407214164734
1713725017.2028651,220,0.1655575931072235
1713725052.9262626,224,0.13720494508743286
1713725074.1742907,226,0.14381460845470428
1713725289.8523078,238,0.18875250220298767
1713725349.4345708,244,0.13727359473705292
1713725571.0078628,255,0.2489612102508545
1713725660.4561806,264,0.10575983673334122
1713725914.9696956,278,0.15736307203769684
1713725946.2094514,282,0.14810511469841003
1713725959.9843817,284,0.1643320918083191
1713726162.823274,292,0.11713279038667679
1713726199.838074,296,0.15221069753170013
1713726222.23764,299,0.14868022501468658
1713726415.603348,309,0.1097496971487999
1713726424.6353626,310,0.11249183863401413
1713726433.5443184,311,0.09840450435876846
1713726467.0203323,315,0.11295805871486664
1713726531.0177464,321,0.1615377962589264
1713726537.9055169,322,0.10727907717227936
1713726705.476382,327,0.10177109390497208
1713726743.0722506,331,0.1467738300561905
1713726794.3703375,336,0.13143892586231232
1713726832.2684588,342,0.16751228272914886
1713726896.7463052,343,0.1370447874069214
1713727015.5882752,347,0.11997973918914795
1713727025.4533167,348,0.144431933760643
1713727115.8047597,359,0.11632999777793884
1713727257.2552578,362,0.1274661123752594
1713727276.488276,363,0.1610635370016098
1713727296.5102134,365,0.07943354547023773
1713727326.5483358,368,0.17642465233802795
1713727356.941755,371,0.13096857070922852
1713727384.5853353,375,0.15359297394752502
1713727401.809118,378,0.11905016005039215
1713727563.4833093,379,0.13825567066669464
1713727597.3053339,383,0.07524029165506363
1713727605.3208232,384,0.1162824034690857
1713727634.533583,387,0.11248252540826797
1713727641.5575507,388,0.16067741811275482
1713727676.227358,393,0.15049304068088531
1713727844.4573,397,0.09718569368124008
1713727854.9808547,398,0.11477886140346527
1713727876.0280561,400,0.17362885177135468
1713727885.5973542,401,0.09947627037763596
1713727902.0328004,403,0.08171249181032181
1713727956.9457748,410,0.10477620363235474
1713727963.8334975,411,0.11865349858999252
1713727981.0570471,414,0.09761315584182739
1713728146.2283468,420,0.12713149189949036
1713728188.2393363,423,0.1819617599248886
1713728214.200892,426,0.09374283254146576
1713728389.3882992,434,0.1149369478225708
1713728399.5373726,435,0.13700197637081146
1713728449.977289,440,0.10805699974298477
1713728473.2012851,442,0.08572475612163544
1713728529.8468611,450,0.08950161933898926
1713728660.9550307,452,0.13860493898391724
1713728689.953327,454,0.09965400397777557
1713728771.7916396,463,0.14997349679470062
1713728778.749844,464,0.12740030884742737
1713728968.1045175,471,0.10381875932216644
1713729021.0364153,477,0.11112547665834427
1713729045.5049012,479,0.1083446815609932
1713729073.1533017,483,0.13598337769508362
1713729248.910642,488,0.13393288850784302
1713729268.8830543,490,0.12847962975502014
1713729322.271227,495,0.07818824052810669
1713729377.8735974,503,0.14985571801662445
1713729495.0273402,505,0.10962250083684921
1713729526.484163,508,0.11207834631204605
1713729627.3814123,517,0.1375458836555481
1713729648.0449486,520,0.09063830971717834
1713729928.8450615,537,0.07983352243900299
1713730144.6262295,547,0.070679672062397
1713730153.613274,548,0.09577681869268417
1713730213.6614342,556,0.12607528269290924
1713730389.4441953,562,0.10503224283456802
1713730554.0213976,577,0.10439629852771759
1713730702.9885333,585,0.10447578132152557
1713730778.0409298,594,0.10997118055820465
1713730850.3103726,595,0.13246247172355652
1713730859.2742565,596,0.1008089929819107
1713730962.4313173,601,0.1483694165945053
1713731053.9987977,611,0.1064126193523407
1713731222.4902236,614,0.12509433925151825
1713731308.6530778,624,0.09351848810911179
1713731315.5539768,625,0.07052437216043472
1713731329.3471222,627,0.12646374106407166
1713731551.9372694,638,0.07498486340045929
1713731570.03489,640,0.1646767556667328
1713731605.8613088,644,0.0974104106426239
1713731784.8076088,649,0.09391721338033676
1713731817.5983205,653,0.10244813561439514
1713731850.1972315,657,0.09012828022241592
1713731905.9783864,664,0.12759312987327576
1713732094.4521847,672,0.07776480913162231
1713732136.8056421,676,0.09014428406953812
1713732177.2936082,681,0.13001316785812378
1713732194.5309181,684,0.11984162032604218
1713732379.5185807,690,0.10814952850341797
1713732396.6353602,692,0.19019323587417603
1713732473.9237514,702,0.09454936534166336
1713732651.521362,705,0.16226980090141296
1713732680.513502,708,0.1054951623082161
1713732710.0428588,712,0.08201195299625397
1713732717.1276276,713,0.07813726365566254
1713732744.8247535,717,0.10026935487985611
1713732762.0645518,720,0.0696866363286972
1713732953.1197965,726,0.0592719204723835
1713732962.1363502,727,0.1382172703742981
1713732971.1037767,728,0.058813370764255524
1713733050.620489,738,0.10979324579238892
1713733255.9383924,747,0.13558249175548553
1713733266.0252116,748,0.084566630423069
1713733291.8033895,751,0.12163417041301727
1713733307.1598256,753,0.1467074304819107
1713733324.404342,756,0.0751887708902359
1713733502.7953484,758,0.09782912582159042
1713733537.4454012,762,0.07522785663604736
1713733553.7672348,764,0.09826895594596863
1713733561.3964434,765,0.07143589854240417
1713733773.2776184,775,0.09690912812948227
1713733812.517284,779,0.06470409035682678
1713733830.4123821,781,0.07219156622886658
1713733867.276469,786,0.07922670990228653
1713733881.0724027,788,0.07413708418607712
1713733887.9683492,789,0.1321239024400711
1713733905.2042737,792,0.06359123438596725
1713734054.4691532,795,0.12078284472227097
1713734355.3323576,813,0.11010059714317322
1713734365.245317,814,0.07382644712924957
1713734434.5975442,822,0.07198365032672882
1713734469.085504,827,0.08123869448900223
1713734626.042911,833,0.07642266154289246
1713734646.213323,835,0.0697346180677414
1713734705.9969027,840,0.0942341685295105
1713734740.6360855,845,0.0857432410120964
1713734973.6283722,855,0.07280585169792175
1713734981.8307028,856,0.06642113626003265
1713734998.2748556,858,0.07611940801143646
1713735292.316046,879,0.11963580548763275
1713735436.426297,883,0.06784933805465698
1713735488.4012785,888,0.07739609479904175
1713735498.4033222,889,0.07328563183546066
1713735530.8552105,891,0.060306720435619354
1713735555.101001,894,0.10316859185695648
1713735589.650766,899,0.12438149750232697
1713735763.3802826,904,0.12013991922140121
1713736157.5845304,934,0.0752323642373085
1713736368.3245854,944,0.07563147693872452
1713736448.871238,954,0.09475529193878174
1713736689.519136,965,0.12222933769226074
1713736730.9978826,971,0.08802622556686401
1713736948.3253589,981,0.09822949022054672
1713737012.9789147,989,0.08892708271741867
1713737185.1953661,994,0.10240756720304489
1713737507.9003296,1015,0.08406028896570206
1713737516.462005,1016,0.0935133770108223
1713737531.9685056,1017,0.08066897839307785
1713737553.107636,1020,0.08167930692434311
1713737580.657207,1024,0.1039457768201828
1713737644.5603523,1027,0.07847749441862106
1713737836.1646342,1038,0.13951340317726135
1713737856.8283978,1041,0.09807149320840836
1713738088.481454,1052,0.07352995127439499
1713738290.9623325,1064,0.09759945422410965
1713738311.0013041,1066,0.09313610196113586
1713738320.87435,1067,0.09582192450761795
1713738401.7416043,1075,0.08113950490951538
1713738408.7307904,1076,0.07191204279661179
1713738432.8387768,1080,0.07314381003379822
1713738666.7694414,1088,0.08785851299762726
1713738732.5605934,1098,0.08684040606021881
1713738892.7017808,1099,0.07087892293930054
1713738911.5573428,1101,0.11292119324207306
