epoch	metric	loss	lr	time	iter
84	0.66786	0.07924	0.19581	511.6	4704
86	0.66503	0.09255	0.19571	523.8	4816
88	0.67227	0.09342	0.19560	536.0	4928
90	0.65129	0.09875	0.19550	548.2	5040
92	0.68025	0.08010	0.19540	560.3	5152
94	0.61123	0.08413	0.19530	572.5	5264
96	0.68811	0.08432	0.19519	584.8	5376
98	0.58387	0.09121	0.19509	596.9	5488
100	0.66131	0.09946	0.19499	609.1	5600
102	0.69611	0.07943	0.19489	621.4	5712
104	0.66163	0.07932	0.19478	633.5	5824
106	0.60261	0.08180	0.19468	645.7	5936
108	0.66791	0.08201	0.19458	657.9	6048
110	0.55919	0.09625	0.19448	670.0	6160
112	0.67594	0.08279	0.19437	682.3	6272
114	0.71251	0.06888	0.19427	694.6	6384
116	0.65004	0.08301	0.19417	706.7	6496
118	0.67465	0.07408	0.19406	718.8	6608
