epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
549	0.8347	0.1448	15372	2.62 hr	10.05s	64.93s	74.98s
559	0.8183	0.1599	15652	2.67 hr	10.65s	65.00s	75.65s
569	0.8415	0.2109	15932	2.71 hr	10.39s	64.84s	75.24s
579	0.8241	0.2268	16212	2.76 hr	10.37s	64.88s	75.25s
589	0.8320	0.1570	16492	2.81 hr	10.25s	64.93s	75.19s
599	0.8265	0.2387	16772	2.86 hr	10.05s	64.82s	74.87s
609	0.8276	0.1496	17052	2.90 hr	10.13s	64.85s	74.99s
619	0.7994	0.1695	17332	2.95 hr	10.69s	64.95s	75.64s
629	0.8452	0.1824	17612	3.00 hr	10.43s	64.80s	75.23s
639	0.8452	0.1961	17892	3.05 hr	10.29s	65.10s	75.39s
649	0.8210	0.1782	18172	3.09 hr	10.44s	64.80s	75.24s
659	0.8342	0.2003	18452	3.14 hr	10.33s	64.86s	75.19s
669	0.8356	0.1787	18732	3.19 hr	10.37s	64.79s	75.16s
679	0.8407	0.1544	19012	3.24 hr	10.11s	65.00s	75.11s
689	0.8354	0.1851	19292	3.28 hr	10.11s	64.89s	75.00s
699	0.8369	0.1467	19572	3.33 hr	10.09s	64.85s	74.94s
709	0.8195	0.1889	19852	3.38 hr	10.07s	64.91s	74.97s
719	0.8366	0.1941	20132	3.42 hr	10.14s	64.89s	75.03s
729	0.8148	0.1800	20412	3.47 hr	10.15s	64.80s	74.95s
739	0.8364	0.1808	20692	3.52 hr	10.11s	64.88s	74.99s
749	0.8291	0.1813	20972	3.57 hr	10.16s	64.85s	75.01s
759	0.8187	0.1895	21252	3.62 hr	10.39s	64.82s	75.21s
769	0.8223	0.1202	21532	3.66 hr	10.13s	64.90s	75.03s
779	0.8239	0.1783	21812	3.71 hr	10.14s	64.90s	75.04s
789	0.8379	0.1844	22092	3.76 hr	10.47s	64.89s	75.37s
799	0.8467	0.1759	22372	3.81 hr	10.04s	64.90s	74.93s
809	0.8196	0.2249	22652	3.85 hr	10.43s	64.88s	75.32s
819	0.8259	0.1761	22932	3.90 hr	10.03s	64.80s	74.84s
829	0.8321	0.1819	23212	3.95 hr	10.15s	64.89s	75.03s
839	0.8125	0.1571	23492	4.00 hr	10.44s	64.88s	75.31s
849	0.8369	0.1711	23772	4.04 hr	10.05s	64.84s	74.89s
859	0.8052	0.1566	24052	4.09 hr	10.04s	64.95s	74.99s
869	0.8346	0.1648	24332	4.14 hr	10.39s	64.92s	75.30s
879	0.8544	0.1906	24612	4.19 hr	11.02s	64.90s	75.92s
889	0.8192	0.1944	24892	4.24 hr	10.14s	64.88s	75.03s
899	0.8390	0.2052	25172	4.28 hr	10.05s	64.92s	74.97s
909	0.8340	0.1482	25452	4.33 hr	10.08s	64.89s	74.98s
919	0.8468	0.1674	25732	4.38 hr	10.50s	64.89s	75.39s
929	0.8305	0.1666	26012	4.42 hr	10.09s	64.96s	75.06s
939	0.8289	0.2185	26292	4.47 hr	10.04s	64.80s	74.83s
949	0.8396	0.1416	26572	4.52 hr	10.81s	64.85s	75.66s
959	0.8251	0.1890	26852	4.57 hr	10.17s	64.85s	75.02s
969	0.8501	0.2028	27132	4.62 hr	10.19s	64.79s	74.97s
979	0.8238	0.1523	27412	4.66 hr	10.56s	64.94s	75.51s
989	0.8222	0.2043	27692	4.71 hr	10.72s	64.85s	75.57s
999	0.8479	0.1293	27972	4.76 hr	10.38s	64.90s	75.27s
1009	0.8445	0.1931	28252	4.81 hr	10.50s	64.77s	75.27s
1019	0.7946	0.1749	28532	4.85 hr	10.13s	64.76s	74.89s
1029	0.8350	0.1384	28812	4.90 hr	10.62s	64.89s	75.52s
1039	0.8297	0.2015	29092	4.95 hr	10.39s	64.77s	75.16s
1049	0.8505	0.1667	29372	4.99 hr	10.42s	64.89s	75.32s
1059	0.8356	0.1511	29652	5.04 hr	10.15s	64.89s	75.05s
1069	0.8167	0.1764	29932	5.09 hr	10.59s	64.84s	75.43s
1079	0.8291	0.1522	30212	5.14 hr	10.19s	64.84s	75.03s
1089	0.8330	0.1551	30492	5.18 hr	10.32s	64.90s	75.22s
1099	0.8394	0.1827	30772	5.23 hr	10.37s	64.91s	75.28s
1109	0.8278	0.1509	31052	5.28 hr	10.68s	64.93s	75.62s
1119	0.8452	0.1899	31332	5.33 hr	10.22s	64.84s	75.05s
1129	0.8301	0.1686	31612	5.37 hr	10.13s	64.83s	74.95s
1139	0.8250	0.1528	31892	5.42 hr	10.09s	64.89s	74.98s
1149	0.8519	0.1966	32172	5.47 hr	10.85s	64.84s	75.69s
1159	0.8365	0.1567	32452	5.52 hr	10.09s	64.99s	75.08s
1169	0.8490	0.1676	32732	5.57 hr	10.61s	64.88s	75.49s
1179	0.8328	0.1560	33012	5.61 hr	10.06s	64.88s	74.95s
1189	0.8367	0.1889	33292	5.66 hr	10.19s	64.83s	75.02s
1199	0.8285	0.2080	33572	5.71 hr	10.23s	64.94s	75.18s
